POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Erik Jones	20	Toyota	367	15	79	48	8	0
2	Kyle Larson	42	Chevrolet	367	3	44	49	14	0
3	Kyle Busch	18	Toyota	367	33	118	51	17	0
4	Kevin Harvick	4	Ford	367	11	0	34	1	0
5	Brad Keselowski	2	Ford	367	2	19	38	6	0
6	Clint Bowyer	14	Ford	367	13	1	36	5	0
7	Kurt Busch	1	Chevrolet	367	4	94	49	19	0
8	Matt DiBenedetto	95	Toyota	367	19	0	29	0	0
9	Paul Menard	21	Ford	367	17	0	28	0	0
10	Austin Dillon	3	Chevrolet	367	14	0	27	0	0
11	Daniel Suarez	41	Ford	367	5	0	26	0	0
12	Chris Buescher	37	Chevrolet	367	12	0	25	0	0
13	Ryan Blaney	12	Ford	366	10	0	24	0	0
14	Joey Logano	22	Ford	366	7	0	26	3	0
15	Martin Truex Jr.	19	Toyota	366	22	0	24	2	0
16	Jimmie Johnson	48	Chevrolet	366	6	3	34	13	0
17	Aric Almirola	10	Ford	366	30	0	20	0	0
18	Alex Bowman	88	Chevrolet	365	16	0	19	0	0
19	Chase Elliott	9	Chevrolet	365	8	9	23	5	0
20	Ty Dillon	13	Chevrolet	365	29	0	17	0	0
21	William Byron	24	Chevrolet	365	1	0	19	3	0
22	Ryan Preece	47	Chevrolet	365	20	0	15	0	0
23	Ryan Newman	6	Ford	365	24	0	14	0	0
24	Bubba Wallace	43	Chevrolet	365	28	0	13	0	0
25	Landon Cassill	00	Chevrolet	364	25	0	0	0	0
26	David Ragan	38	Ford	363	26	0	11	0	0
27	Matt Tifft	36	Ford	362	32	0	10	0	0
28	Ross Chastain	15	Chevrolet	361	31	0	0	0	0
29	Denny Hamlin	11	Toyota	356	9	0	22	14	0
30	Reed Sorenson	77	Chevrolet	355	34	0	7	0	0
31	Joe Nemechek	27	Chevrolet	354	37	0	0	0	0
32	J.J. Yeley	52	Ford	352	35	0	0	0	0
33	Ricky Stenhouse Jr.	17	Ford	351	21	0	4	0	0
34	Joey Gase	66	Toyota	349	39	0	0	0	0
35	Garrett Smithley	54	Ford	344	38	0	0	0	0
36	Corey LaJoie	32	Ford	330	27	0	1	0	0
37	Daniel Hemric	8	Chevrolet	274	18	0	1	0	0
38	Michael McDowell	34	Ford	274	23	0	1	0	0
39	B.J. McLeod	51	Ford	194	36	0	0	0	0
